rank_seed,entity,track,entity_type,official_url,official_signal_url,github_url,tsi,oai,esi,edi,cri,total,status,next_action
1,Circle,blockchain-digital-assets,company,https://www.circle.com/,https://www.circle.com/pressroom/circle-reports-first-quarter-2026-results,,19,14,18,17,16,84,verified,Track official payments and event pages weekly
2,Coinbase,blockchain-digital-assets,company,https://www.coinbase.com/,https://investor.coinbase.com/events-and-presentations/events/event-details/2026/First-Quarter-2026-Earnings-Call-2026-c_9lDnYzu7/default.aspx,https://github.com/coinbase,18,16,16,15,16,81,verified,Track developer platform and official event appearances
3,Ripple,blockchain-digital-assets,company,https://ripple.com/,https://ripple.com/insights/xrp-community-day-2026-what-to-expect/,https://github.com/ripple,17,15,18,15,16,81,verified,Track official XRPL ecosystem events and docs
4,Chainalysis,blockchain-digital-assets,company,https://www.chainalysis.com/,https://www.chainalysis.com/blog/links-2026-recap/,,18,10,17,14,15,74,verified,Track official event recaps and product launches
5,BTC Inc / Bitcoin Conference,blockchain-digital-assets,company,https://b.tc/,https://2026.b.tc/sponsor,,15,8,20,12,15,70,verified,Track sponsor and speaker pages from official event site
6,CoinDesk / Consensus,blockchain-digital-assets,company,https://consensus.coindesk.com/,https://consensus.coindesk.com/press/,,14,8,20,13,14,69,verified,Track official conference schedules and public archives
7,Blockstream,blockchain-digital-assets,company,https://blockstream.com/,https://blockstream.com/about/,https://github.com/Blockstream,17,15,13,14,12,71,verified,Track official product updates and research releases
8,Chainlink,blockchain-digital-assets,company,https://chain.link/,https://chain.link/press,https://github.com/smartcontractkit,16,15,12,14,12,69,verified,Track official press and developer releases
9,Crypto.com,blockchain-digital-assets,company,https://crypto.com/,https://2026.b.tc/sponsor,,16,8,15,12,12,63,verified,Track official conference sponsorships and product announcements
10,Hedera,blockchain-digital-assets,company,https://hedera.com/,https://hedera.com/events/,https://github.com/hashgraph,15,12,15,12,13,67,verified,Track official events and developer updates
11,Fireblocks,blockchain-digital-assets,company,https://www.fireblocks.com/,https://www.fireblocks.com/wp-content/uploads/2026/02/Fireblocks_Security_Whitepaper_Feb2026.pdf,,15,8,11,12,13,59,verified,Track official reports and event pages
12,Bitwise,blockchain-digital-assets,company,https://bitwiseinvestments.com/,https://2026.b.tc/sponsor,,14,7,13,11,12,57,verified,Track official investor and conference materials
13,ConsenSys,blockchain-digital-assets,company,https://consensys.io/,https://consensys.io/blog/stablecoin-yields-US-crypto-regulation-clarity-act,https://github.com/Consensys,14,13,10,12,10,59,verified,Track official developer and product surfaces
14,Open Compute Project,open-digital-infrastructure,foundation,https://www.opencompute.org/,https://www.opencompute.org/summit/global-summit,https://github.com/opencomputeproject,13,13,14,12,12,64,verified,Track summit agenda and member engineering output
15,CNCF / KubeCon,open-digital-infrastructure,foundation,https://www.cncf.io/,https://events.linuxfoundation.org/kubecon-cloudnativecon-north-america/sponsor/,https://github.com/cncf,12,16,14,13,12,67,verified,Track KubeCon schedules and project changes
16,Linux Foundation,open-digital-infrastructure,foundation,https://www.linuxfoundation.org/,https://events.linuxfoundation.org/2026/01/22/linux-foundation-reveals-2026-global-events-program-advancing-open-source-ai-and-enabling-community-based-innovation/,https://github.com/linuxfoundation,12,15,13,13,12,65,verified,Track foundation event program and project launches
17,HL7,digital-health-standards,standards-body,https://www.hl7.org/,https://www.hl7.org/events/,,11,8,11,16,10,56,requires-verification,Verify current 2026 event schedule and community routes
18,OpenMRS,digital-health-standards,open-source-project,https://openmrs.org/,https://openmrs.org/,https://github.com/openmrs,10,15,8,15,11,59,requires-verification,Verify current event and contribution channels
19,ROS / ROSCon,robotics,open-source-ecosystem,https://www.ros.org/,https://roscon.ros.org/,https://github.com/ros-infrastructure,11,15,13,14,10,63,verified,Track ROSCon and official ROS documentation changes
20,NIST,standards-and-innovation,public-institution,https://www.nist.gov/,https://www.nist.gov/news-events/events,,10,7,10,16,9,52,requires-verification,Verify track-specific workshops and standards outputs
