rank,entity,sector,entity_type,official_url,official_docs,github_url,official_signal_url,TSI,OAI,EPI,KAI,CRI,TGI,MI,total,status,next_action
1,Chainlink,enterprise-standards-interoperability,network,https://chain.link/,https://docs.chain.link/,https://github.com/smartcontractkit,https://blog.chain.link/ccip-cross-chain-standard/,19,17,16,16,15,18,19,120,verified,"Track CCIP, institutional tokenization, and cross-chain security upgrades"
2,Digital Asset,enterprise-standards-interoperability,company,https://www.digitalasset.com/,https://get-docs.digitalasset.com/,,https://blog.digitalasset.com/press-release/dtcc-and-digital-asset-partner-to-tokenize-dtc-custodied-u.s.-treasury-securities-on-the-canton-network,18,15,16,15,15,19,18,116,verified,"Track Canton releases, DTCC tokenization work, and composable enterprise modules"
3,LF Decentralized Trust,enterprise-standards-interoperability,foundation,https://www.lfdecentralizedtrust.org/,,,https://www.lfdecentralizedtrust.org/blog/building-forward-together,17,15,15,16,15,17,15,110,verified,"Track standards governance, member summits, and enterprise open-source coordination"
4,R3,enterprise-standards-interoperability,company,https://r3.com/,,,https://r3.com/r3-announces-launch-of-corda-protocol-on-behalf-of-r3-foundation-to-bring-institutional-grade-curated-yield-to-solana/,17,14,15,14,15,17,16,108,verified,"Track Corda protocol, interoperability strategy, and institutional yield infrastructure"
5,Hedera,enterprise-standards-interoperability,network,https://hedera.com/,https://docs.hedera.com/,https://github.com/hashgraph,https://hedera.com/blog/,17,14,15,15,14,17,15,107,verified,"Track council-led enterprise adoption, tokenization programs, and interop layers"
6,LayerZero,enterprise-standards-interoperability,protocol,https://layerzero.network/,,,https://layerzero.network/blog/canton-network-goes-live,17,14,14,13,14,15,18,105,verified,"Track institutional asset routing, Canton expansion, and multi-chain endpoint adoption"
7,Axelar,enterprise-standards-interoperability,protocol,https://www.axelar.network/,https://docs.axelar.dev/,,https://www.axelar.network/blog/axelar-hedera-integration,16,14,14,13,14,15,16,102,verified,"Track programmable interop, institution-facing chain integrations, and compliance-aware routing"
8,Kaleido,enterprise-standards-interoperability,company,https://www.kaleido.io/,,,https://www.kaleido.io/blockchain-blog/tokenized-deposits-models-use-cases-infrastructure,16,12,13,13,14,16,15,99,verified,"Track tokenized deposits, Besu-based deployments, and enterprise blockchain tooling"
9,Ownera,enterprise-standards-interoperability,company,https://ownera.io/,,,https://ownera.io/,15,12,13,12,15,16,14,97,verified,"Track interop rails for tokenized assets and institutional distribution routes"
10,Enterprise Ethereum Alliance,enterprise-standards-interoperability,standards-body,https://entethalliance.org/,,,https://entethalliance.org/the-eea-launches-its-privacy-working-group/,14,12,13,14,15,15,12,95,verified,"Track privacy, security, and DLT interoperability working-group output"
11,Hyperledger Besu,enterprise-standards-interoperability,project,https://besu.hyperledger.org/,https://besu.hyperledger.org/,https://github.com/hyperledger/besu,https://besu.hyperledger.org/,15,14,11,14,12,15,13,94,verified,"Track enterprise Ethereum client readiness and CBDC/tokenization deployments"
12,Hyperledger Cacti,enterprise-standards-interoperability,project,https://www.hyperledger.org/projects/cacti,,https://github.com/hyperledger-cacti/cacti,https://start-here.hyperledger.org/releases/hyperledger/cacti,15,14,11,13,12,15,12,92,verified,"Track open interop middleware and cross-ledger connector maturity"
13,Hyperledger Fabric,enterprise-standards-interoperability,project,https://www.hyperledger.org/projects/fabric,https://hyperledger-fabric.readthedocs.io/,https://github.com/hyperledger/fabric,https://www.hyperledger.org/projects/fabric,15,14,11,13,12,15,12,92,verified,"Track enterprise ledger deployments and standards-aligned production usage"
14,Canton Network,enterprise-standards-interoperability,network,https://www.canton.network/,,,https://www.canton.network/blog/ethereum-and-canton-unifying-public-innovation-with-institutional-scale,15,12,13,12,14,14,12,92,verified,"Track public-private finance connectivity and mainnet release progress"
15,Quant,enterprise-standards-interoperability,company,https://quant.network/,,,https://quant.network/press-releases/murex-quant-network-embed-tokenised-deposits-digital-bond-settlement-into-capital-markets-infrastructure/,15,11,12,12,13,16,12,91,verified,"Track tokenized deposits, capital-markets workflows, and ISO 20022-native interoperability"
16,Wormhole,enterprise-standards-interoperability,protocol,https://wormhole.com/,,,https://wormhole.com/blog/securitize-brings-securitize-tokenized-apollo-diversified-credit-fund-to-sei-with-wormhole,15,12,12,12,12,13,14,90,verified,"Track institutional multichain tokenization routes and asset mobility standards"
17,Polymesh Labs,enterprise-standards-interoperability,company,https://polymesh.network/,,,https://polymesh.network/blog/polymesh-v7-4-0,15,12,12,12,13,14,11,89,verified,"Track regulated-settlement interoperability and identity-first market plumbing"
18,Tokeny / ERC-3643,enterprise-standards-interoperability,platform,https://tokeny.com/,https://docs.tokeny.com/docs/overview-1,,https://tokeny.com/blog/,14,12,12,13,12,14,11,88,verified,"Track compliant token standard adoption and interoperable asset-transfer controls"
19,Hyperledger FireFly,enterprise-standards-interoperability,project,https://www.hyperledger.org/projects/firefly,https://hyperledger.github.io/firefly/latest/,https://github.com/hyperledger/firefly,https://www.hyperledger.org/projects/firefly,14,13,10,13,11,14,11,86,verified,"Track multi-party application fabric and enterprise blockchain middleware adoption"
20,WalletConnect,enterprise-standards-interoperability,network,https://walletconnect.network/,https://docs.walletconnect.network/,,https://www.canton.network/blog/walletconnect-is-now-live-on-canton-network?hs_amp=true,14,12,11,12,11,13,12,85,verified,"Track wallet connectivity standards bridging institutional finance and DeFi"
