rank,entity,sector,official_url,official_signal_url,TSI,OAI,EPI,KAI,CRI,TGI,MI,total,status,note
1,Ethereum Foundation,protocols,https://ethereum.org/foundation,https://blog.ethereum.org/2026/04/29/allocation-q1-26,19,18,18,19,17,17,18,126,verified,"Highest current score across all published sector tables"
2,Circle,payments-stablecoins-settlement,https://www.circle.com/,https://www.circle.com/pressroom/circle-reports-first-quarter-2026-results,19,16,17,18,17,18,18,123,verified,"Leads payments and stablecoins with strong public product and trust surface"
3,Aave,defi,https://aave.com/,https://aave.com/blog,19,17,17,16,16,18,19,122,verified,"Top DeFi score and strong weekly momentum"
4,Chainalysis,compliance-risk-forensics,https://www.chainalysis.com/,https://www.chainalysis.com/blog/introducing-first-blockchain-intelligence-agents-2026/,19,15,17,16,16,20,19,122,verified,"Top compliance and intelligence signal with strong trust/governance score"
5,Securitize,rwa-tokenization,https://securitize.io/,https://marketing.dev.securitize.io/learn/press/BlackRock-USD-Institutional-Digital-Liquidity-Fund-BUIDL-Tokenized-By-Securitize-Surpasses-1B-in-AUM,19,16,16,17,17,19,18,122,verified,"Top tokenization score with strong institutional public signal"
6,Coinbase,exchanges-brokerage-liquidity,https://www.coinbase.com/,https://investor.coinbase.com/events-and-presentations/events/default.aspx,19,17,17,17,16,17,18,121,verified,"Top exchange score with strong product, docs, and investor surface"
7,Uniswap,defi,https://uniswap.org/,https://blog.uniswap.org/latest-updates,19,18,17,17,15,16,19,121,verified,"High open activity and product momentum keep Uniswap near the top"
8,Chainlink,enterprise-standards-interoperability,https://chain.link/,https://blog.chain.link/ccip-cross-chain-standard/,19,17,16,16,15,18,19,120,verified,"Cross-chain standards and technical surface remain exceptionally strong"
9,Alchemy,data-infrastructure,https://www.alchemy.com/,https://www.alchemy.com/blog/introducing-alchemy-solana-grpc,19,17,15,17,15,17,19,119,verified,"Leads infrastructure service layer with broad builder-facing execution"
10,Solana Foundation,protocols,https://solana.org/,https://solana.com/news/solana-developer-platform,18,17,18,17,16,15,18,119,verified,"Protocol, developer, and ecosystem signal remain very strong"
11,Safe,dao-governance-treasury,https://safe.global/,https://safe.global/blog/the-safe-standard-defining-a-standard-for-ecosystem-ready-chains,18,17,15,17,16,18,17,118,verified,"Treasury, account abstraction, and governance readiness support a high score"
12,Fireblocks,wallets-custody-security,https://www.fireblocks.com/,https://www.fireblocks.com/blog/launch-financial-grid-global,18,16,15,16,16,18,18,117,verified,"Institutional custody and payments-network positioning keep Fireblocks high"
13,Digital Asset,enterprise-standards-interoperability,https://www.digitalasset.com/,https://blog.digitalasset.com/press-release/dtcc-and-digital-asset-partner-to-tokenize-dtc-custodied-u.s.-treasury-securities-on-the-canton-network,18,15,16,15,15,19,18,116,verified,"Strong tokenization and standards governance footprint"
14,Ondo Finance,rwa-tokenization,https://ondo.finance/,https://blog.ondo.finance/ondo-finance-global-markets-alliance/,18,15,17,16,16,16,18,116,verified,"Visible public-market tokenization narrative and alliance activity"
15,OpenZeppelin,developer-tools,https://openzeppelin.com/,https://blog.openzeppelin.com/doubling-down-on-open-source-and-phasing-out-defender,18,19,15,18,16,16,14,116,verified,"Exceptional open activity and knowledge access scores"
16,Ripple,payments-stablecoins-settlement,https://ripple.com/,https://ripple.com/ripple-press/ripple-redefines-payments-with-end-to-end-stablecoin-platform-and-global-customer-momentum/,18,15,16,16,16,17,18,116,verified,"Payments, stablecoin, and enterprise messaging remain very active"
17,Stripe / Bridge,payments-stablecoins-settlement,https://stripe.com/,https://stripe.com/blog/everything-we-announced-at-sessions-2026,18,15,17,17,16,15,17,115,verified,"Stablecoin payments and merchant distribution signal are expanding quickly"
18,Sui Foundation,protocols,https://sui.io/,https://blog.sui.io/graphql-archival-store-sui-data-stack/,18,16,17,17,15,14,18,115,verified,"Protocol momentum and technical surface remain strong"
19,The Graph,data-infrastructure,https://thegraph.com/,https://thegraph.com/blog/technical-roadmap/,18,17,14,17,15,17,17,115,verified,"Research, docs, and ecosystem roadmap keep the data layer highly visible"
20,BitGo,wallets-custody-security,https://www.bitgo.com/,https://investors.bitgo.com/news/news-details/2026/As-Threats-Evolve-BitGo-Raises-the-Bar-with-Secure-Mobile-Architecture-Advanced-Policy-Controls-and-Real-Time-API-Attestations/default.aspx,18,15,14,15,15,18,18,113,verified,"Wins the final slot on tie-break over other 113-score entities"
