rank,entity,sector,entity_type,official_url,official_docs,github_url,official_signal_url,TSI,OAI,EPI,KAI,CRI,TGI,MI,total,status,next_action
1,Chainalysis,analytics-intelligence,company,https://www.chainalysis.com/,,,https://www.chainalysis.com/blog/introducing-first-blockchain-intelligence-agents-2026/,19,15,17,16,16,20,20,123,verified,"Track intelligence agents, research cadence, and institutional investigations"
2,TRM Labs,analytics-intelligence,company,https://www.trmlabs.com/,,,https://www.trmlabs.com/resources/blog,18,15,15,15,16,19,20,118,verified,"Track investigation workflows, public intelligence notes, and agency-facing tooling"
3,Nansen,analytics-intelligence,company,https://www.nansen.ai/,,,https://www.nansen.ai/post/nansen-x-sui-bringing-real-time-onchain-intelligence-to-the-move-ecosystem,18,16,14,16,14,18,20,116,verified,"Track real-time intelligence, chain-specific analytics, and institutional dashboards"
4,Dune,analytics-intelligence,platform,https://dune.com/,https://docs.dune.com/,,https://dune.com/blog/dune-mcp,18,16,14,17,14,16,20,115,verified,"Track query infrastructure, MCP access, and public onchain intelligence workflows"
5,Elliptic,analytics-intelligence,company,https://www.elliptic.co/,https://developers.elliptic.co/,,https://www.elliptic.co/blog,17,14,14,15,15,19,20,114,verified,"Track sanctions intelligence, investigations, and compliance analytics delivery"
6,Arkham,analytics-intelligence,platform,https://arkm.com/,,,https://codex.arkm.com/the-platform,17,15,13,15,14,17,20,111,verified,"Track intelligence platform growth, labeled entity coverage, and public investigations"
7,Flipside,analytics-intelligence,platform,https://flipsidecrypto.xyz/,,,https://flipsidecrypto.xyz/chat/,16,15,13,15,14,16,20,109,verified,"Track AI-assisted data exploration, community research, and open analytics workflows"
8,Coin Metrics,analytics-intelligence,company,https://coinmetrics.io/,,,https://coinmetrics.io/company-news/introducing-implied-volatility-surface-metrics/,16,15,13,16,13,17,18,108,verified,"Track market data research, metric expansion, and institutional signal design"
9,Glassnode,analytics-intelligence,company,https://glassnode.com/,,,https://insights.glassnode.com/strategy-watch-02-2026/,16,14,13,16,13,17,18,107,verified,"Track market structure insights, research dashboards, and public analytics education"
10,Kaiko,analytics-intelligence,company,https://www.kaiko.com/,,,https://research.kaiko.com/insights/crypto-in-2026-what-breaks-what-scales-what-consolidates,16,14,13,15,13,17,18,106,verified,"Track market microstructure research, exchange data, and institutional reporting"
11,Artemis,analytics-intelligence,company,https://www.artemisanalytics.com/,,,https://research.artemisanalytics.com/p/artemis-weekly-digital-finance-fundamentals-59e,15,14,13,15,13,16,18,104,verified,"Track chain activity analytics, weekly digital finance research, and KPI comparability"
12,CryptoQuant,analytics-intelligence,company,https://cryptoquant.com/,,,https://cryptoquant.com/insights/asset-leaders/report-2026-q1,15,14,12,15,14,15,17,102,verified,"Track exchange-flow analytics, quarterly reports, and market intelligence coverage"
13,Token Terminal,analytics-intelligence,platform,https://tokenterminal.com/,,,https://tokenterminal.com/blog,15,14,12,15,13,15,17,101,verified,"Track protocol fundamentals, metrics standardization, and valuation-intelligence workflow"
14,Messari,analytics-intelligence,research-platform,https://messari.io/,https://messari.io/research,,https://messari.io/research,15,14,13,16,13,14,15,100,verified,"Track protocol research, screeners, and structured market intelligence output"
15,Bubblemaps,analytics-intelligence,analytics-platform,https://bubblemaps.io/,,,https://bubblemaps.io/blog,15,13,14,14,12,14,17,99,verified,"Track visual cluster analysis, public investigations, and community intelligence use"
16,Merkle Science,analytics-intelligence,company,https://www.merklescience.com/,,,https://www.merklescience.com/,16,12,13,13,15,15,13,97,verified,"Track predictive risk intelligence and training-facing investigation tooling"
17,DefiLlama,analytics-intelligence,platform,https://defillama.com/,,https://github.com/DefiLlama,https://defillama.com/,15,15,12,15,13,12,14,96,verified,"Track public DeFi metrics, chain coverage, and open data distribution"
18,Blockaid,analytics-intelligence,company,https://www.blockaid.io/,,,https://www.blockaid.io/blog/how-blockaid-detected-a-smart-contract-exploit-on-scallop-in-real-time-and-prevented-loss-on-sui-ecosystem,16,13,13,13,14,14,12,95,verified,"Track real-time threat intelligence, exploit analysis, and prevention telemetry"
19,Notabene,analytics-intelligence,company,https://notabene.id/,,,https://notabene.id/blog,14,11,13,13,16,16,12,95,verified,"Track payment compliance intelligence and policy-aware transaction analysis"
20,Solidus Labs,analytics-intelligence,company,https://soliduslabs.com/,,,https://soliduslabs.com/blog/,14,11,13,12,15,15,13,93,verified,"Track market surveillance intelligence, fraud analytics, and regulatory reporting"
