rank,entity,sector,entity_type,official_url,official_docs,github_url,official_signal_url,TSI,OAI,EPI,KAI,CRI,TGI,MI,total,status,next_action
1,Alchemy,data-infrastructure,company,https://www.alchemy.com/,https://www.alchemy.com/docs/,https://github.com/alchemyplatform,https://www.alchemy.com/blog/introducing-alchemy-solana-grpc,19,17,15,17,15,17,19,119,verified,"Track RPC, streaming, wallet, and enterprise cluster releases"
2,The Graph,data-infrastructure,protocol,https://thegraph.com/,https://thegraph.com/docs/,https://github.com/graphprotocol,https://thegraph.com/blog/technical-roadmap/,18,17,14,17,15,17,17,115,verified,"Track roadmap execution across subgraphs, data services, and AI-facing access"
3,QuickNode,data-infrastructure,company,https://www.quicknode.com/,https://www.quicknode.com/docs/,,https://blog.quicknode.com/,18,16,14,16,15,15,18,112,verified,"Track endpoint, cache, marketplace, and agent infrastructure updates"
4,Chainlink,data-infrastructure,network,https://chain.link/,https://docs.chain.link/,https://github.com/smartcontractkit,https://blog.chain.link/,18,16,14,16,14,16,17,111,verified,"Track oracle, data, automation, and interoperability infrastructure releases"
5,Tenderly,data-infrastructure,company,https://tenderly.co/,https://docs.tenderly.co/,https://github.com/Tenderly,https://blog.tenderly.co/,17,16,13,16,15,15,16,108,verified,"Track simulation, monitoring, node, and developer observability changes"
6,Etherscan,data-infrastructure,platform,https://etherscan.io/,https://docs.etherscan.io/,,https://docs.etherscan.io/changelog,16,13,12,15,12,15,17,100,verified,"Track API changes, chain explorers, and data access policy updates"
7,Helius,data-infrastructure,company,https://www.helius.dev/,https://www.helius.dev/docs/,https://github.com/helius-labs,https://www.helius.dev/blog,16,14,12,15,14,13,15,99,verified,"Track Solana RPC, streaming, and developer analytics surface"
8,Blockscout,data-infrastructure,project,https://blockscout.com/,https://docs.blockscout.com/,https://github.com/blockscout/blockscout,https://docs.blockscout.com/,16,15,11,15,13,14,15,99,verified,"Track open explorer stack, chain coverage, and public documentation depth"
9,Infura,data-infrastructure,company,https://www.infura.io/,https://docs.infura.io/,https://github.com/INFURA,https://www.infura.io/blog,16,14,12,15,12,14,15,98,verified,"Track node, API, and enterprise connectivity updates"
10,Dune,data-infrastructure,company,https://dune.com/,https://docs.dune.com/,https://github.com/duneanalytics,https://community.dune.com/blog,14,14,13,16,12,14,15,98,verified,"Track query engine, analytics surface, and public data storytelling"
11,Covalent,data-infrastructure,company,https://www.covalenthq.com/,https://docs.covalent.xyz/,https://github.com/covalenthq,https://www.covalenthq.com/blog/,15,13,11,14,12,14,14,93,verified,"Track unified API, chain support, and analytics data product updates"
12,SubQuery,data-infrastructure,project,https://subquery.network/,https://academy.subquery.network/,https://github.com/subquery,https://subquery.network/blog/,15,14,11,14,12,13,13,92,verified,"Track indexing stack, chain integrations, and developer education output"
13,Goldsky,data-infrastructure,company,https://goldsky.com/,https://docs.goldsky.com/,https://github.com/goldsky-io,https://goldsky.com/blog/,15,13,11,13,12,13,14,91,verified,"Track indexing pipelines, streaming, and operational tooling changes"
14,Chainbase,data-infrastructure,company,https://chainbase.com/,https://docs.chainbase.com/,,https://blog.chainbase.com/,15,13,11,13,12,13,13,90,verified,"Track omnichain data platform growth and public partner surface"
15,Nansen,data-infrastructure,company,https://www.nansen.ai/,,,https://www.nansen.ai/post,14,11,12,13,12,14,13,89,verified,"Track data intelligence, institutional analytics, and product releases"
16,Flipside,data-infrastructure,company,https://flipsidecrypto.xyz/,https://docs.flipsidecrypto.xyz/,https://github.com/FlipsideCrypto,https://flipsidecrypto.xyz/fc/resources,13,12,11,15,12,13,12,88,verified,"Track data access, community analytics, and educational query resources"
17,Moralis,data-infrastructure,company,https://moralis.com/,https://docs.moralis.com/,https://github.com/MoralisWeb3,https://moralis.com/blog,14,13,10,14,12,12,13,88,verified,"Track API, auth, and real-time wallet-data tooling"
18,Transpose,data-infrastructure,company,https://transpose.io/,https://docs.transpose.io/,,https://transpose.io/blog,14,12,10,13,11,13,12,85,verified,"Track SQL data access, protocol coverage, and analytics product updates"
19,NodeReal,data-infrastructure,company,https://nodereal.io/,https://docs.nodereal.io/,https://github.com/node-real,https://nodereal.io/blog/,14,12,10,12,11,13,12,84,verified,"Track node platform, chain integrations, and enterprise-grade API expansion"
20,Ankr,data-infrastructure,company,https://www.ankr.com/,https://www.ankr.com/docs/,https://github.com/ankr,https://www.ankr.com/blog/,14,12,10,12,11,12,12,83,verified,"Track RPC marketplace, rollup services, and chain operations infrastructure"
