rank,entity,sector,entity_type,official_url,official_docs,github_url,official_signal_url,TSI,OAI,EPI,KAI,CRI,TGI,MI,total,status,next_action
1,Chainalysis,compliance-risk-forensics,company,https://www.chainalysis.com/,,,https://www.chainalysis.com/blog/introducing-first-blockchain-intelligence-agents-2026/,19,15,17,16,16,20,19,122,verified,"Track intelligence agents, policy reports, and event briefings"
2,TRM Labs,compliance-risk-forensics,company,https://www.trmlabs.com/,,,https://www.trmlabs.com/resources/blog,18,14,15,14,16,18,18,113,verified,"Track product highlights, investigations, and institutional intelligence updates"
3,Elliptic,compliance-risk-forensics,company,https://www.elliptic.co/,https://developers.elliptic.co/,,https://www.elliptic.co/blog,17,13,14,14,15,18,17,108,verified,"Track sanctions analysis, compliance tooling, and research cadence"
4,Blockaid,compliance-risk-forensics,company,https://www.blockaid.io/,,,https://www.blockaid.io/blog/how-blockaid-detected-a-smart-contract-exploit-on-scallop-in-real-time-and-prevented-loss-on-sui-ecosystem,17,13,14,13,15,16,18,106,verified,"Track onchain monitoring, exploit response, and threat-intelligence research"
5,Merkle Science,compliance-risk-forensics,company,https://www.merklescience.com/,,,https://www.merklescience.com/,16,12,14,13,15,16,16,102,verified,"Track predictive risk intelligence, training, and public event presence"
6,Notabene,compliance-risk-forensics,company,https://notabene.id/,,,https://notabene.id/blog,15,11,13,13,16,16,15,99,verified,"Track travel rule infrastructure, B2B payment compliance, and policy interpretation"
7,Solidus Labs,compliance-risk-forensics,company,https://soliduslabs.com/,,,https://soliduslabs.com/blog/,15,10,13,12,15,15,14,94,verified,"Track market surveillance, fraud monitoring, and regulatory product updates"
8,Hypernative,compliance-risk-forensics,company,https://www.hypernative.io/,,,https://www.hypernative.io/blog,15,11,12,12,14,14,15,93,verified,"Track real-time risk monitoring, transaction policy, and incident-response integrations"
9,Sardine,compliance-risk-forensics,company,https://www.sardine.ai/,https://docs.sardine.ai/,,https://www.sardine.ai/blog/,14,10,11,12,14,15,14,90,verified,"Track fraud prevention, payment risk, and crypto compliance workflows"
10,CertiK,compliance-risk-forensics,company,https://www.certik.com/,https://docs.certik.com/,https://github.com/CertiKProject,https://www.certik.com/resources/blog,14,11,12,12,12,14,14,89,verified,"Track security monitoring, skynet alerts, and investigative reporting"
11,Scorechain,compliance-risk-forensics,company,https://www.scorechain.com/,,,https://www.scorechain.com/resources/,14,10,11,12,14,14,13,88,verified,"Track AML analytics, compliance education, and regulator-facing product notes"
12,Crystal Intelligence,compliance-risk-forensics,company,https://crystalintelligence.com/,,,https://crystalintelligence.com/blog/,14,9,11,12,13,15,13,87,verified,"Track blockchain intelligence research and law-enforcement use-case material"
13,Forta,compliance-risk-forensics,network,https://forta.org/,https://docs.forta.network/,https://github.com/forta-network,https://forta.org/blog/,14,13,9,13,11,11,15,86,verified,"Track detection bots, threat feeds, and open monitoring infrastructure"
14,Hexagate,compliance-risk-forensics,company,https://hexagate.com/,,,https://hexagate.com/blog/,14,10,10,11,13,13,14,85,verified,"Track protocol security monitoring and ecosystem response infrastructure"
15,Coinfirm,compliance-risk-forensics,company,https://www.coinfirm.com/,,,https://www.coinfirm.com/blog/,13,9,10,11,13,15,13,84,verified,"Track AML product updates, compliance policy surface, and exchange integrations"
16,Lukka,compliance-risk-forensics,company,https://lukka.com/,,,https://lukka.com/resources/,13,8,10,11,12,15,13,82,verified,"Track regulatory reporting, institutional data controls, and accounting-compliance workflows"
17,AMLBot,compliance-risk-forensics,company,https://amlbot.com/,,,https://amlbot.com/blog/,13,9,10,11,12,13,12,80,verified,"Track transaction screening, wallet checks, and public educational releases"
18,Cubist,compliance-risk-forensics,company,https://cubist.dev/,https://docs.cubist.dev/,,https://cubist.dev/blog/,13,10,9,11,10,13,13,79,verified,"Track key management, secure signing, and engineering posts relevant to risk control"
19,Sumsub,compliance-risk-forensics,company,https://sumsub.com/,,,https://sumsub.com/blog/,12,8,10,11,12,14,11,78,verified,"Track KYB and fraud-prevention work intersecting digital-asset onboarding"
20,ComplyAdvantage,compliance-risk-forensics,company,https://complyadvantage.com/,,,https://complyadvantage.com/insights/,12,8,10,10,12,14,11,77,verified,"Track AML knowledge surface and public risk-analysis material used by crypto operators"
