rank,entity,sector,entity_type,official_url,official_docs,github_url,official_signal_url,TSI,OAI,EPI,KAI,CRI,TGI,MI,total,status,next_action
1,Ethereum Foundation,protocols,foundation,https://ethereum.org/foundation,https://ethereum.org/developers/,https://github.com/ethereum,https://blog.ethereum.org/2026/04/29/allocation-q1-26,19,18,18,19,17,17,18,126,verified,Track protocol fellowship and allocation updates
2,Solana Foundation,protocols,foundation,https://solana.org/,https://solana.com/docs,https://github.com/solana-labs,https://solana.com/news/solana-developer-platform,18,17,18,17,16,15,18,119,verified,Track developer platform and enterprise API surface
3,Sui Foundation,protocols,foundation,https://sui.io/,https://docs.sui.io/,https://github.com/MystenLabs,https://blog.sui.io/graphql-archival-store-sui-data-stack/,18,16,17,17,15,14,18,115,verified,Track data stack and protocol upgrade signals
4,Avalanche,protocols,foundation,https://www.avax.network/,https://build.avax.network/,https://github.com/ava-labs,https://www.avax.network/blog,18,16,16,16,15,15,16,112,verified,Track builder and institutional network updates
5,Polkadot,protocols,foundation,https://polkadot.com/,https://docs.polkadot.com/,https://github.com/paritytech,https://polkadot.com/newsroom/,17,16,15,17,15,15,15,110,verified,Track protocol and interoperability releases
6,Algorand Foundation,protocols,foundation,https://algorand.co/,https://dev.algorand.co/,https://github.com/algorand,https://algorand.co/blog/multisig-as-a-first-class-citizen-security-made-for-humans,17,15,15,16,14,17,16,110,verified,Track protocol security and engineering updates
7,Cosmos,protocols,foundation,https://cosmos.network/,https://docs.cosmos.network/,https://github.com/cosmos,https://cosmos.network/blog/,17,17,14,16,14,14,15,107,verified,Track IBC and ecosystem coordination signals
8,Ripple / XRPL,protocols,company,https://ripple.com/,https://docs.ripple.com/,https://github.com/ripple,https://ripple.com/insights/xrp-community-day-2026-what-to-expect/,17,15,16,15,16,15,12,106,verified,Track XRPL ecosystem events and docs
9,Hedera,protocols,foundation,https://hedera.com/,https://docs.hedera.com/,https://github.com/hashgraph,https://hedera.com/events/,16,13,16,14,15,17,15,106,verified,Track event and governance-facing signals
10,Cardano,protocols,foundation,https://cardano.org/,https://docs.cardano.org/,https://github.com/input-output-hk,https://cardano.org/news/,17,15,14,17,14,16,13,106,verified,Track protocol research and education updates
11,Aptos Foundation,protocols,foundation,https://aptosfoundation.org/,https://aptos.dev/,https://github.com/aptos-labs,https://aptosfoundation.org/,17,16,15,16,14,14,14,106,verified,Track foundation ecosystem and builder programs
12,NEAR Protocol,protocols,foundation,https://near.org/,https://docs.near.org/,https://github.com/near,https://near.org/blog/,17,16,14,16,14,14,14,105,verified,Track chain abstraction and ecosystem materials
13,Bitcoin Core,protocols,project,https://bitcoincore.org/,https://bitcoincore.org/en/doc/,https://github.com/bitcoin/bitcoin,https://bitcoincore.org/en/releases/,16,18,10,16,13,18,13,104,verified,Track release cadence and review process
14,Optimism,protocols,foundation,https://www.optimism.io/,https://docs.optimism.io/,https://github.com/ethereum-optimism,https://www.optimism.io/blog,16,16,15,15,14,14,13,103,verified,Track superchain and governance signals
15,Stellar,protocols,foundation,https://stellar.org/,https://developers.stellar.org/,https://github.com/stellar,https://stellar.org/blog,16,14,14,15,14,15,14,102,verified,Track protocol and payments education outputs
16,Starknet,protocols,foundation,https://www.starknet.io/,https://docs.starknet.io/,https://github.com/starkware-libs,https://www.starknet.io/blog,17,15,15,15,13,14,13,102,verified,Track scaling and prover ecosystem signals
17,Arbitrum,protocols,foundation,https://arbitrum.io/,https://docs.arbitrum.io/,https://github.com/OffchainLabs,https://arbitrum.io/blog/,16,15,15,15,14,14,13,102,verified,Track chain and builder ecosystem updates
18,Tezos,protocols,foundation,https://tezos.com/,https://docs.tezos.com/,https://github.com/tezos,https://tezos.com/media-center/2026/ledger-etherlink/,16,14,14,15,13,15,14,101,verified,Track rollup and wallet integration signals
19,DFINITY / Internet Computer,protocols,foundation,https://internetcomputer.org/,https://internetcomputer.org/docs,https://github.com/dfinity,https://internetcomputer.org/,17,15,14,15,13,15,12,101,verified,Track protocol and app-layer public materials
20,ZKsync,protocols,foundation,https://zksync.io/,https://docs.zksync.io/,https://github.com/matter-labs,https://zksync.io/news,17,15,14,15,13,14,12,100,verified,Track proof and ecosystem release surface
