rank,entity,sector,entity_type,official_url,official_docs,github_url,official_signal_url,TSI,OAI,EPI,KAI,CRI,TGI,MI,total,status,next_action
1,Securitize,rwa-tokenization,company,https://securitize.io/,,,https://marketing.dev.securitize.io/learn/press/BlackRock-USD-Institutional-Digital-Liquidity-Fund-BUIDL-Tokenized-By-Securitize-Surpasses-1B-in-AUM,19,16,16,17,17,19,18,122,verified,"Track BUIDL expansion, cross-chain share classes, and market-liquidity integrations"
2,Ondo Finance,rwa-tokenization,company,https://ondo.finance/,https://docs.ondo.finance/,,https://blog.ondo.finance/ondo-finance-global-markets-alliance/,18,15,17,16,16,16,18,116,verified,"Track tokenized treasuries, global markets infrastructure, and alliance standards"
3,Centrifuge,rwa-tokenization,company,https://centrifuge.io/,https://docs.centrifuge.io/,https://github.com/centrifuge,https://centrifuge.io/tokenization-outlook-2026,17,16,15,16,15,16,17,112,verified,"Track tokenized funds, DeFi distribution, and new asset-rail integrations"
4,Superstate,rwa-tokenization,company,https://www.superstate.com/,,,https://superstate.com/newsroom/fundos-operating-system-tokenizing-funds,17,14,15,15,15,16,17,109,verified,"Track FundOS, tokenized funds, and onchain equity expansion"
5,Archax,rwa-tokenization,company,https://archax.com/,,,https://archax.com/insights/news/uk-carbon-registry-partners-with-archax-for-tokenised-carbon-credit-linked-securities,17,13,15,14,15,16,17,107,verified,"Track regulated tokenization engine, fund distribution, and issuer partnerships"
6,Tokeny,rwa-tokenization,company,https://tokeny.com/,https://docs.tokeny.com/docs/overview-1,,https://tokeny.com/blog/,16,15,13,15,14,16,15,104,verified,"Track ERC-3643 adoption, ecosystem integrations, and institutional tokenization workflows"
7,Polymesh,rwa-tokenization,network,https://polymesh.network/,https://developers.polymesh.live/,https://github.com/PolymeshAssociation,https://polymesh.network/blog/polymesh-v7-4-0,16,14,12,15,13,16,15,101,verified,"Track regulated-settlement upgrades and identity-aware asset operations"
8,DigiFT,rwa-tokenization,company,https://www.digift.sg/,,,https://www.digift.sg/,15,12,13,13,14,16,15,98,verified,"Track exchange-led tokenization, regulated asset distribution, and institutional product launches"
9,Taurus,rwa-tokenization,company,https://www.taurushq.com/,,,https://www.taurushq.com/insights/,15,11,12,12,14,17,14,95,verified,"Track banking-grade issuance, custody, and tokenization deployments"
10,R3,rwa-tokenization,company,https://r3.com/,,,https://r3.com/r3-announces-launch-of-corda-protocol-on-behalf-of-r3-foundation-to-bring-institutional-grade-curated-yield-to-solana/,16,11,12,12,13,15,14,93,verified,"Track institutional RWA vaults and TradFi-to-DeFi tokenization pathways"
11,Figure Markets,rwa-tokenization,company,https://www.figuremarkets.com/,,,https://www.figuremarkets.com/,15,11,12,12,13,15,14,92,verified,"Track tokenized capital markets access and blockchain-native retail distribution"
12,Provenance Blockchain,rwa-tokenization,network,https://provenance.io/,,,https://provenance.io/,15,11,12,12,13,14,14,91,verified,"Track financial-asset issuance, settlement rail adoption, and network growth"
13,Libre,rwa-tokenization,company,https://librecap.com/,,,https://librecap.com/,14,10,12,11,13,16,14,90,verified,"Track tokenized fund access, institutional syndication, and private-market rails"
14,Republic,rwa-tokenization,company,https://republic.com/,https://republic.com/tokenization,,https://republic.com/blog/republic-updates/animoca-tokenization,14,11,12,12,13,14,14,90,verified,"Track tokenized equity launches and secondary-market infrastructure"
15,tZERO,rwa-tokenization,company,https://www.tzero.com/,,,https://www.tzero.com/news/tzero-highlights-key-patents-powering-the-architecture-of-regulated-tokenized-securities-markets,14,11,11,12,13,14,13,88,verified,"Track regulated issuance-to-trading stack and tokenized securities market infrastructure"
16,OpenEden,rwa-tokenization,company,https://openeden.com/,https://docs.openeden.com/,,https://docs.openeden.com/,14,10,11,12,12,14,14,87,verified,"Track tokenized treasury distribution and treasury-management rails"
17,Paxos,rwa-tokenization,company,https://www.paxos.com/,https://docs.paxos.com/guides/stablecoin/index,,https://www.paxos.com/,14,10,11,12,13,15,12,87,verified,"Track regulated tokenization-adjacent issuance and asset-rail infrastructure"
18,Backed,rwa-tokenization,company,https://backed.fi/,,,https://backed.fi/,13,10,10,11,12,13,13,82,verified,"Track tokenized security products and cross-chain access routes"
19,Swarm Markets,rwa-tokenization,company,https://swarm.com/,,,https://swarm.com/,13,10,10,11,12,12,13,81,verified,"Track compliant onchain asset access and distribution growth"
20,Plume Network,rwa-tokenization,network,https://plumenetwork.xyz/,https://docs.plume.org/,,https://plumenetwork.xyz/,14,10,11,11,11,11,14,82,verified,"Track RWA-focused chain infrastructure and asset distribution partnerships"
