rank,entity,sector,entity_type,official_url,official_docs,github_url,official_signal_url,TSI,OAI,EPI,KAI,CRI,TGI,MI,total,status,next_action
1,Fireblocks,wallets-custody-security,company,https://www.fireblocks.com/,https://developers.fireblocks.com/,https://github.com/fireblocks,https://www.fireblocks.com/blog/launch-financial-grid-global,18,16,15,16,16,18,18,117,verified,"Track custody network, policy engine, and institutional security releases"
2,BitGo,wallets-custody-security,company,https://www.bitgo.com/,https://developers.bitgo.com/,https://github.com/BitGo,https://investors.bitgo.com/news/news-details/2026/As-Threats-Evolve-BitGo-Raises-the-Bar-with-Secure-Mobile-Architecture-Advanced-Policy-Controls-and-Real-Time-API-Attestations/default.aspx,18,15,14,15,15,18,18,113,verified,"Track mobile signing, policy controls, and off-exchange settlement expansion"
3,Ledger,wallets-custody-security,company,https://www.ledger.com/,https://developers.ledger.com/,https://github.com/LedgerHQ,https://www.ledger.com/academy/topics/security/custodial-vs-non-custodial-wallets,16,15,13,16,14,16,17,107,verified,"Track self-custody education, wallet integrations, and hardware product surface"
4,Safe,wallets-custody-security,platform,https://safe.global/,https://docs.safe.global/,https://github.com/safe-global,https://help.safe.global/articles/7610775969-understanding-safe-shield-guardian-by-hypernative,16,15,14,15,15,16,15,106,verified,"Track multisig security controls, treasury workflows, and guardian integrations"
5,MetaMask,wallets-custody-security,product,https://metamask.io/,https://docs.metamask.io/,https://github.com/MetaMask,https://metamask.io/news/crypto-security-report-2026,16,16,13,15,14,14,17,105,verified,"Track wallet security reporting, embedded wallet features, and developer access"
6,Trezor,wallets-custody-security,company,https://trezor.io/,https://docs.trezor.io/,https://github.com/trezor,https://trezor.io/blog/news/Google-just-changed-the-quantum-deadline-Heres-what-it-means-for-your-bitcoin,15,14,12,15,13,15,17,101,verified,"Track quantum-ready hardware wallet work and self-custody education"
7,Phantom,wallets-custody-security,product,https://phantom.com/,https://docs.phantom.com/,,https://help.phantom.com/hc/en-us/articles/50639521822227-About-Phantom-KMS,15,13,13,14,14,14,16,99,verified,"Track wallet security, KMS architecture, and consumer trading surface"
8,Anchorage Digital,wallets-custody-security,company,https://www.anchorage.com/,,,https://www.anchorage.com/insights,16,11,12,12,14,17,15,97,verified,"Track qualified custody, institutional product surface, and policy updates"
9,Fordefi,wallets-custody-security,company,https://www.fordefi.com/,https://docs.fordefi.com/,,https://www.fordefi.com/blog,15,11,12,13,13,15,15,94,verified,"Track MPC wallet operations, developer tooling, and institutional workflow updates"
10,Copper,wallets-custody-security,company,https://www.copper.co/,,,https://www.copper.co/insights,15,10,12,11,14,16,15,93,verified,"Track custody, collateral management, and settlement network developments"
11,Taurus,wallets-custody-security,company,https://www.taurushq.com/,,,https://www.taurushq.com/insights/,14,10,12,11,13,16,15,91,verified,"Track banking-grade custody, tokenization, and client deployment updates"
12,Coinbase Wallet,wallets-custody-security,product,https://www.coinbase.com/wallet,https://docs.cdp.coinbase.com/,https://github.com/coinbase,https://www.coinbase.com/wallet/articles,14,12,11,13,12,13,15,90,verified,"Track self-custody wallet, smart wallet, and agentic user-flow updates"
13,Utila,wallets-custody-security,company,https://www.utila.io/,,,https://www.utila.io/blog,13,9,11,11,13,15,14,86,verified,"Track enterprise wallet governance and embedded operations updates"
14,Zengo,wallets-custody-security,company,https://zengo.com/,,,https://zengo.com/learn/,13,10,11,12,13,13,14,86,verified,"Track MPC retail custody, educational surface, and recovery model updates"
15,GK8,wallets-custody-security,company,https://www.gk8.io/,,,https://www.gk8.io/resources/,14,9,10,10,12,15,13,83,verified,"Track institutional cold wallet, tokenization, and security research output"
16,Turnkey,wallets-custody-security,company,https://www.turnkey.com/,https://docs.turnkey.com/,https://github.com/tkhq,https://www.turnkey.com/blog,14,12,9,12,11,12,13,83,verified,"Track programmable wallet infrastructure and developer adoption"
17,Casa,wallets-custody-security,company,https://casa.io/,,,https://blog.casa.io/,12,10,10,12,12,14,12,82,verified,"Track bitcoin self-custody guidance and collaborative key-management product updates"
18,OneKey,wallets-custody-security,company,https://onekey.so/,https://developer.onekey.so/,https://github.com/OneKeyHQ,https://blog.onekey.so/,12,9,10,11,11,12,13,78,verified,"Track hardware wallet ecosystem, app integrations, and public product notes"
19,Openfort,wallets-custody-security,company,https://www.openfort.io/,https://www.openfort.io/docs,https://github.com/openfort-xyz,https://www.openfort.io/blog,12,11,8,11,11,11,12,76,verified,"Track embedded wallet stack and gaming identity integrations"
20,Keystone,wallets-custody-security,company,https://keyst.one/,,https://github.com/KeystoneHQ,https://blog.keyst.one/,12,8,9,10,11,13,12,75,verified,"Track air-gapped hardware wallet updates and wallet interoperability work"
