rank,entity,sector,entity_type,official_url,official_docs,github_url,official_signal_url,TSI,OAI,EPI,KAI,CRI,TGI,MI,total,status,next_action
1,ETHGlobal,education-media-events-research,organization,https://ethglobal.com/,,,https://ethglobal.com/events/cannes2026,18,17,20,18,16,15,18,122,verified,"Track hackathons, open builder curriculum, and conference-linked learning pathways"
2,"CoinDesk / Consensus",education-media-events-research,media-and-events,https://consensus.coindesk.com/,,,https://consensus.coindesk.com/press/,17,16,20,18,16,16,17,120,verified,"Track flagship conference programming, editorial research, and official event expansion"
3,"Bitcoin Magazine / Bitcoin Conference",education-media-events-research,media-and-events,https://bitcoinmagazine.com/,,,https://2026.b.tc/sponsor,16,15,20,17,16,16,18,118,verified,"Track Bitcoin education media, conference ecosystem growth, and sponsor landscape"
4,Blockworks,education-media-events-research,media-and-events,https://blockworks.co/,,,https://blockworks.co/event/digital-asset-summit-nyc-2026/home,16,15,19,17,15,16,17,115,verified,"Track events, editorial research, and executive education-facing media output"
5,"Devconnect / Ethereum Foundation",education-media-events-research,organization,https://devconnect.org/,,,https://devconnect.org/,17,15,19,18,14,15,16,114,verified,"Track builder gatherings, protocol education, and community learning infrastructure"
6,TOKEN2049,education-media-events-research,events-platform,https://www.asia.token2049.com/,,,https://www.asia.token2049.com/,15,14,20,15,15,15,18,112,verified,"Track global event footprint, partner network, and public speaker programming"
7,Messari,education-media-events-research,research-platform,https://messari.io/,https://messari.io/research,,https://messari.io/research,16,16,15,18,15,15,15,110,verified,"Track public research reports, ecosystem briefings, and event-linked intelligence"
8,Binance Academy,education-media-events-research,education-platform,https://academy.binance.com/en/,,,https://academy.binance.com/en/,15,15,13,19,15,14,16,107,verified,"Track multilingual learning content, explainers, and structured education paths"
9,Solana Breakpoint,education-media-events-research,events-platform,https://solana.com/breakpoint,,,https://solana.com/breakpoint,16,14,19,15,14,13,15,106,verified,"Track flagship ecosystem conference content, builder access, and practical sessions"
10,The Block,education-media-events-research,media-platform,https://www.theblock.co/,,,https://www.theblock.co/events,15,14,17,17,14,14,13,104,verified,"Track market education, events, and research-backed editorial cadence"
11,Bankless,education-media-events-research,media-platform,https://www.bankless.com/,,,https://www.bankless.com/summit,14,14,16,17,14,13,15,103,verified,"Track education media, summit activity, and beginner-to-advanced learning funnels"
12,Alchemy University,education-media-events-research,education-platform,https://www.alchemy.com/university/,,,https://www.alchemy.com/university/courses/ethereum,15,16,13,18,14,12,14,102,verified,"Track developer education, practical courses, and project-based learning infrastructure"
13,Dune,education-media-events-research,data-and-research-platform,https://dune.com/,,,https://dune.com/blog/dune-mcp,16,15,14,16,13,13,14,101,verified,"Track open dashboards, educational datasets, and research distribution tooling"
14,Polkadot Blockchain Academy,education-media-events-research,education-platform,https://blockchainacademy.polkadot.network/,,,https://blockchainacademy.polkadot.network/,14,14,14,17,14,13,13,99,verified,"Track intensive academy formats, protocol education, and regional learning hubs"
15,Avalanche Academy,education-media-events-research,education-platform,https://www.avax.network/,,,https://www.avax.network/blog,14,13,16,15,14,12,14,98,verified,"Track network education, summit-linked curriculum, and public learning resources"
16,Coinbase Learn,education-media-events-research,education-platform,https://www.coinbase.com/learn,,,https://www.coinbase.com/learn,14,14,13,17,14,12,13,97,verified,"Track retail education, market explainers, and beginner-friendly onboarding content"
17,Coin Metrics,education-media-events-research,research-platform,https://coinmetrics.io/,,,https://coinmetrics.io/company-news/introducing-implied-volatility-surface-metrics/,15,14,12,16,13,13,13,96,verified,"Track public research notes, metric explainers, and institutional learning content"
18,Glassnode,education-media-events-research,research-platform,https://glassnode.com/,,,https://insights.glassnode.com/strategy-watch-02-2026/,15,13,12,16,13,13,13,95,verified,"Track market research education, weekly insights, and explanatory analytics"
19,Artemis,education-media-events-research,research-platform,https://www.artemisanalytics.com/,,,https://research.artemisanalytics.com/p/artemis-weekly-digital-finance-fundamentals-59e,14,13,12,15,13,13,14,94,verified,"Track weekly digital finance research, sector explainers, and ecosystem literacy"
20,Bubblemaps,education-media-events-research,analytics-platform,https://bubblemaps.io/,,,https://bubblemaps.io/blog,14,13,14,14,12,11,14,92,verified,"Track visual investigations, community education, and explainable onchain research"
