rank,entity,sector,entity_type,official_url,official_docs,github_url,official_signal_url,TSI,OAI,EPI,KAI,CRI,TGI,MI,total,status,next_action
1,Safe,dao-governance-treasury,project,https://safe.global/,https://docs.safe.global/,https://github.com/safe-global,https://safe.global/blog/the-safe-standard-defining-a-standard-for-ecosystem-ready-chains,18,17,15,17,16,18,17,118,verified,"Track Safe Standard, API plans, and treasury operations guidance"
2,Tally,dao-governance-treasury,company,https://www.tally.xyz/,https://docs.tally.xyz/,,https://docs.tally.xyz/on-chain-operations/governance,17,16,14,17,15,16,16,111,verified,"Track MultiGov, governance launch, and council election features"
3,Aragon,dao-governance-treasury,project,https://aragon.org/,https://docs.aragon.org/,https://github.com/aragon,https://blog.aragon.org/,17,16,13,16,15,15,14,106,verified,Track modular governance and ownership-token operations
4,Snapshot,dao-governance-treasury,project,https://snapshot.org/,https://docs.snapshot.box/,https://github.com/snapshot-labs,https://docs.snapshot.box/,16,18,13,16,14,14,15,106,verified,"Track Snapshot X, voting strategies, and space governance surface"
5,Agora,dao-governance-treasury,company,https://www.agora.xyz/,,,https://www.agora.xyz/blogs/9-notification-hub,16,15,14,15,15,15,15,105,verified,Track governance notifications and multichain voting modules
6,Gnosis Guild,dao-governance-treasury,company,https://www.gnosisguild.org/,https://docs.gnosisguild.org/,https://github.com/gnosisguild,https://www.gnosisguild.org/articles,16,16,12,15,14,15,14,102,verified,Track DAO tooling and treasury operations content
7,Hats Protocol,dao-governance-treasury,project,https://www.hatsprotocol.xyz/,https://docs.hatsprotocol.xyz/,https://github.com/Hats-Protocol,https://www.hatsprotocol.xyz/,16,16,12,15,14,15,13,101,verified,Track role-based onchain permissions and governance surface
8,Aave Governance,dao-governance-treasury,project,https://aave.com/,https://aave.com/docs/,https://github.com/aave,https://governance.aave.com/,15,16,13,15,14,14,14,101,verified,Track proposal flow and governance operations
9,Optimism Governance,dao-governance-treasury,project,https://www.optimism.io/,https://gov.optimism.io/,,https://www.optimism.io/blog,15,15,13,15,14,14,14,100,verified,Track bicameral governance and treasury coordination
10,Boardroom,dao-governance-treasury,company,https://boardroom.io/,,,https://boardroom.io/,15,13,13,15,14,15,15,100,verified,"Track governance feed, notifications, and Agora integration"
11,ENS DAO,dao-governance-treasury,project,https://ens.domains/,https://docs.ens.domains/,https://github.com/ensdomains,https://discuss.ens.domains/,15,15,13,15,14,14,13,99,verified,Track delegate process and governance legibility
12,Maker / Sky Governance,dao-governance-treasury,project,https://sky.money/,https://docs.sky.money/,https://github.com/makerdao,https://vote.makerdao.com/,15,15,12,14,13,14,12,95,verified,Track procedural governance and treasury operations
13,Colony,dao-governance-treasury,project,https://colony.io/,,https://github.com/JoinColony/colonyNetwork,https://blog.colony.io/,15,15,12,14,13,13,13,95,verified,Track reputation-weighted governance and operations tools
14,Questbook,dao-governance-treasury,company,https://questbook.app/,,,https://questbook.app/,14,12,13,14,14,14,14,95,verified,Track grants and governance coordination workflows
15,Uniswap Governance,dao-governance-treasury,project,https://uniswap.org/,https://docs.uniswap.org/,https://github.com/Uniswap,https://gov.uniswap.org/,14,15,12,14,13,13,12,93,verified,Track protocol governance procedures and forums
16,Coordinape,dao-governance-treasury,company,https://coordinape.com/,,,https://coordinape.com/,14,12,12,14,14,13,13,92,verified,Track contributor coordination and peer allocation infrastructure
17,Guild.xyz,dao-governance-treasury,company,https://guild.xyz/,,,https://guild.xyz/,14,12,12,14,14,13,13,92,verified,Track token-gated community coordination and role infrastructure
18,Nouns DAO,dao-governance-treasury,project,https://nouns.wtf/,,https://github.com/nounsDAO,https://nouns.wtf/,14,14,12,13,12,13,11,89,verified,Track auction-funded treasury governance model
19,CharmVerse,dao-governance-treasury,company,https://charmverse.io/,https://charmverse.io/how-it-works/overview/,,https://charmverse.io/blog/,14,11,12,14,13,12,12,88,verified,Track governance authoring and grants operations workflows
20,JokeRace,dao-governance-treasury,project,https://www.jokerace.io/,https://docs.jokerace.io/,,https://www.jokerace.io/,13,12,12,13,13,12,12,87,verified,Track contest-based governance and open participation models
