rank,entity,sector,entity_type,official_url,official_docs,github_url,official_signal_url,TSI,OAI,EPI,KAI,CRI,TGI,MI,total,status,next_action
1,Coinbase,exchanges-brokerage-liquidity,company,https://www.coinbase.com/,https://docs.cdp.coinbase.com/,https://github.com/coinbase,https://investor.coinbase.com/events-and-presentations/events/default.aspx,19,17,17,17,16,17,18,121,verified,"Track exchange, derivatives, and developer platform updates"
2,Kraken,exchanges-brokerage-liquidity,company,https://www.kraken.com/,https://docs.kraken.com/,https://github.com/krakenfx,https://blog.kraken.com/event/institutional-forum-2026,17,15,16,15,16,16,16,111,verified,Track institutional forum and market-structure updates
3,Bullish,exchanges-brokerage-liquidity,company,https://www.bullish.com/,https://bullish.com/us/exchange,https://github.com/bullish-exchange,https://www.bullish.com/us/news-insights/bullish-tokenizes-its-shares-bringing-blsh-onchain,18,14,16,14,15,17,16,110,verified,Track institutional market infrastructure and tokenized equity rollout
4,Gemini,exchanges-brokerage-liquidity,company,https://www.gemini.com/,https://docs.gemini.com/,https://github.com/gemini,https://www.gemini.com/blog/introducing-agentic-trading-on-gemini-the-future-of-crypto-is-autonomous,17,15,15,15,15,17,15,109,verified,"Track API, derivatives, and agentic trading surface"
5,OKX,exchanges-brokerage-liquidity,company,https://www.okx.com/,https://www.okx.com/docs-v5/en/,https://github.com/okx,https://www.okx.com/learn/bitgo-oes-us,17,15,16,15,15,14,16,108,verified,Track institutional settlement and exchange product surface
6,FalconX,exchanges-brokerage-liquidity,company,https://www.falconx.io/,https://www.falconx.io/prime,https://github.com/falconxio,https://www.falconx.io/newsroom,17,14,15,14,15,15,16,106,verified,"Track prime brokerage, liquidity, and structured credit announcements"
7,Binance,exchanges-brokerage-liquidity,company,https://www.binance.com/,https://developers.binance.com/,https://github.com/binance,https://www.binance.com/en/blog,18,15,13,15,14,13,15,103,verified,Track global exchange and API updates
8,Robinhood Crypto,exchanges-brokerage-liquidity,company,https://robinhood.com/us/en/crypto/,https://robinhood.com/us/en/support/articles/cryptocurrency/,,https://investors.robinhood.com/news-releases/news-release-details/robinhood-reports-first-quarter-2026-results,15,12,14,13,15,17,16,102,verified,"Track crypto volume, policy, and API product updates"
9,Crypto.com Exchange,exchanges-brokerage-liquidity,company,https://crypto.com/exchange,https://crypto.com/exchange/document/api,https://github.com/crypto-com,https://crypto.com/us/product-news/exchange-broker-program-2026/,16,14,14,14,14,14,15,101,verified,Track institutional broker program and exchange product changes
10,Deribit,exchanges-brokerage-liquidity,company,https://www.deribit.com/,https://docs.deribit.com/,,https://insights.deribit.com/exchange-updates/starbase-a-new-era-of-high-performance-trading-on-deribit/,17,14,12,14,13,15,15,100,verified,Track derivatives infrastructure and performance upgrades
11,Bitstamp,exchanges-brokerage-liquidity,company,https://www.bitstamp.net/,https://www.bitstamp.net/api/,https://github.com/bitstamp,https://www.bitstamp.net/en-us/blog/,15,13,13,13,14,15,14,97,verified,Track regulated exchange and institutional market access updates
12,Bitget,exchanges-brokerage-liquidity,company,https://www.bitget.com/,https://www.bitget.com/api-doc,https://github.com/BitgetLimited,https://www.bitget.com/blog/articles/bitget-q1-2026-multi-asset-trading-shift,16,13,14,13,13,13,15,97,verified,"Track liquidity, derivatives, and exchange reporting"
13,Bybit,exchanges-brokerage-liquidity,company,https://www.bybit.com/,https://bybit-exchange.github.io/docs/v5/intro,https://github.com/bybit-exchange,https://www.bybit.com/common-static/cht-static/por/Bybit_PoR_Audit_2026_Feb_26.pdf,16,13,13,13,13,13,14,95,verified,Track proof-of-reserves and trading infrastructure
14,Bitso,exchanges-brokerage-liquidity,company,https://bitso.com/,https://docs.bitso.com/,https://github.com/bitsoex,https://blog.bitso.com/,15,13,13,13,13,14,13,94,verified,Track LATAM exchange and API surface
15,CEX.IO,exchanges-brokerage-liquidity,company,https://cex.io/,https://cex.io/rest-api,https://github.com/cexioltd,https://cex.io/about,15,13,12,13,13,14,13,93,verified,Track regulated venue and product roadmap
16,Uphold,exchanges-brokerage-liquidity,company,https://uphold.com/,https://uphold.com/en-us/onchain,,https://uphold.com/en-us/transparency,14,12,12,13,14,16,12,93,verified,"Track transparency, on-chain enterprise payments, and venue breadth"
17,KuCoin,exchanges-brokerage-liquidity,company,https://www.kucoin.com/,https://www.kucoin.com/docs-new,https://github.com/Kucoin,https://www.kucoin.com/blog,15,13,12,13,12,12,13,90,verified,Track exchange and API updates
18,Mercado Bitcoin,exchanges-brokerage-liquidity,company,https://www.mercadobitcoin.com.br/en/,https://www.mercadobitcoin.com.br/en/criptomoedas/bitcoin,,https://www.mercadobitcoin.com.br/mercantil,14,11,12,12,13,14,13,89,verified,Track LATAM platform and regulated market expansion
19,HTX,exchanges-brokerage-liquidity,company,https://www.htx.com/,,,https://www.htx.com/support,14,11,12,12,12,12,13,86,verified,"Track listings, support surface, and research distribution"
20,Bitfinex,exchanges-brokerage-liquidity,company,https://www.bitfinex.com/,https://docs.bitfinex.com/,https://github.com/bitfinexcom,https://blog.bitfinex.com/,15,13,11,12,12,11,12,86,verified,"Track derivatives, APIs, and market-structure updates"
