rank,entity,sector,entity_type,official_url,official_docs,github_url,official_signal_url,TSI,OAI,EPI,KAI,CRI,TGI,MI,total,status,next_action
1,Aave,defi,protocol,https://aave.com/,https://aave.com/docs,https://github.com/aave,https://aave.com/blog,19,17,17,16,16,18,19,122,verified,"Track Aave V4, governance security, and institutional DeFi integrations"
2,Uniswap,defi,protocol,https://uniswap.org/,https://docs.uniswap.org/,https://github.com/Uniswap,https://blog.uniswap.org/latest-updates,19,18,17,17,15,16,19,121,verified,"Track API rollout, v4 ecosystem growth, and RWA-linked liquidity integrations"
3,Lido,defi,protocol,https://lido.fi/,https://docs.lido.fi/,https://github.com/lidofinance,https://blog.lido.fi/,17,15,15,16,15,17,17,112,verified,"Track institutional staking, Lido V3 vaults, and enterprise treasury deployments"
4,Morpho,defi,protocol,https://morpho.org/,https://docs.morpho.org/,https://github.com/morpho-org,https://morpho.org/blog/introducing-morpho-agents-beta-interface-built-for-ai-agents/,18,16,14,16,14,16,17,111,verified,"Track Morpho Agents, institutional lending, and vault ecosystem expansion"
5,Sky,defi,protocol,https://sky.money/,https://docs.sky.money/,,https://sky.money/,17,15,14,15,14,17,16,108,verified,"Track sUSDS growth, savings surface, and governance-driven stablecoin yield"
6,Curve,defi,protocol,https://curve.finance/,https://docs.curve.finance/,https://github.com/curvefi,https://news.curve.finance/,16,14,14,15,13,16,17,105,verified,"Track crvUSD, LlamaLend recovery work, and liquidity-engine updates"
7,Ethena,defi,protocol,https://ethena.fi/,https://docs.ethena.fi/,,https://docs.ethena.fi/,16,13,14,14,13,16,18,104,verified,"Track USDe collateral design, mint/redeem surface, and CeFi/DeFi settlement growth"
8,Pendle,defi,protocol,https://www.pendle.finance/,https://docs.pendle.finance/,,https://docs.pendle.finance/pendle-v2/ProtocolMechanics/Mechanisms/Tokenomics,16,14,13,14,13,15,16,101,verified,"Track yield-token infrastructure, tokenomics transition, and protocol integrations"
9,dYdX,defi,protocol,https://www.dydx.xyz/,https://docs.dydx.xyz/,,https://www.dydx.xyz/,17,14,13,13,13,14,16,100,verified,"Track derivatives-market structure, chain upgrades, and institutional liquidity surface"
10,Jupiter,defi,protocol,https://jup.ag/,https://developers.jup.ag/,,https://developers.jup.ag/blog/,17,14,13,14,12,13,16,99,verified,"Track swap engine, developer platform, and perps execution updates"
11,Compound,defi,protocol,https://compound.finance/,https://docs.compound.finance/,https://github.com/compound-finance,https://compound.finance/,15,13,12,14,12,15,15,96,verified,"Track lending-market depth and governance-led product changes"
12,Balancer,defi,protocol,https://balancer.fi/,https://docs.balancer.fi/,https://github.com/balancer,https://balancer.fi/,15,13,12,14,12,14,14,94,verified,"Track vault infrastructure, programmable liquidity, and institutional pool usage"
13,CoW DAO,defi,protocol,https://cow.fi/,https://docs.cow.fi/,https://github.com/cowprotocol,https://cow.fi/learn/how-cow-protocol-actually-works,15,13,13,13,12,14,14,94,verified,"Track intent-based execution, cross-chain swaps, and MEV-protected routing"
14,Spark,defi,protocol,https://spark.fi/,https://docs.spark.fi/,,https://spark.fi/,15,12,12,13,12,14,13,91,verified,"Track savings and borrowing integration with the broader Sky ecosystem"
15,GMX,defi,protocol,https://gmx.io/,https://docs.gmx.io/,https://github.com/gmx-io,https://docs.gmx.io/docs/sdk/changelog/,15,12,12,13,11,13,14,90,verified,"Track perps infrastructure, SDK expansion, and governance security proposals"
16,Yearn,defi,protocol,https://yearn.fi/,https://docs.yearn.fi/,https://github.com/yearn,https://yearn.fi/,13,12,11,13,11,13,14,87,verified,"Track vault strategy evolution and yield-layer integrations"
17,Euler,defi,protocol,https://www.euler.finance/,https://docs.euler.finance/,,https://www.euler.finance/,14,11,11,13,11,13,13,86,verified,"Track lending-market relaunch depth and risk-engine development"
18,Synthetix,defi,protocol,https://synthetix.io/,https://docs.synthetix.io/,https://github.com/Synthetixio,https://synthetix.io/,14,11,11,12,11,13,13,85,verified,"Track synthetic-asset infrastructure and cross-protocol liquidity usage"
19,Maple,defi,protocol,https://maple.finance/,https://docs.maple.finance/,,https://maple.finance/,14,10,11,12,12,13,12,84,verified,"Track institutional lending pools and credit-market evolution"
20,Fluid,defi,protocol,https://fluid.io/,https://docs.fluid.io/,,https://docs.fluid.io/,14,10,11,12,11,12,13,83,verified,"Track combined DEX and lending liquidity stack plus audit cadence"
